name,coverage,nFlId
Marshon Lattimore,"[7.339812229730913, 6.151352991686021, 6.4822666777138505, 9.13983199656652, 3.577657068819122, 7.006466773909562, 5.634643644379351, 3.19819682309103, 2.6482884986316217, 9.707011241167754, 1.6098671661596924, 4.592141411804732, 5.289963028702575, 5.8836697696151266, 2.5024809312207825, 2.7673275532126604, 19.19209571623481, 3.3513042484055386, 6.538733607445868, 6.6988384792287015, 6.937557899691553, 2.9676201200872496, 2.1492792111219727, 5.571438917814146, 2.2367625486223113]",2558061.0
Demario Davis,"[6.5620689553030225, 8.991142475953376, 7.159735441801711, 3.571398851448296, 5.253254622663658, 7.854341717935623, 6.174423315590147, 5.491004467255528, 9.007651417651111, 6.184032763712038, 6.873035458068749, 8.068455089642727, 9.461129994173378, 2.6189795248353787, 12.066337967020521, 7.190149432292455, 16.59612437716112, 5.896898871457373, 6.646766087580213, 12.633577352852091, 6.711279438025251, 7.343750752083562, 8.950994262111786, 3.1838575195886367, 3.8948797741045977]",2533008.0
A.J. Klein,"[7.619732252060561, 5.226577638282554, 3.9385597470936364, 7.595180570068736, 1.0424041259118493, 2.919556041481656, 6.090461067638113, 7.478454458354924, 7.910188840748782, 5.779423903685378, 9.417249324408814, 10.662482229440176, 8.869082070507774, 7.072737774556723, 8.192564468573943, 9.198499591960154, 9.04724615551997]",2539982.0
P.J. Williams,"[3.809616230400007, 3.681358696507719, 11.531047976005196, 3.8115691960016873, 8.956203395448522, 5.6027703271458815, 3.859593992296274, 6.3917445827340025, 3.1231486538410826, 1.6583687185789324, 4.747787273509881, 7.647473069812032, 8.45540277083037, 4.157240013949626, 4.316154717185508, 3.3522454925096956, 7.599702495696785, 3.4492733337057846, 5.287547615747393, 5.329433125374154]",2552484.0
Eli Apple,"[6.213352043815255, 5.894672788844058, 1.6274512362786686, 4.451374346476717, 1.2385713919508174, 8.58300001947221, 10.469521222738926, 5.564312424020482, 4.785374613130065, 5.927606285738094, 5.212773504285246, 5.363438599283097, 10.781303037597192, 5.638412500228789, 1.5262918832132604, 11.762325090874258, 10.889437605944101, 1.6215834826271958, 4.641842126412937, 6.881419675368437, 1.5348134913159324, 8.229692162284486, 1.7233734513234726, 6.389669097193174, 1.5664700270161194]",2555277.0
Vonn Bell,"[2.1226355405471886, 3.019568197279031, 2.5563215281712597, 7.172267522868053, 8.3808991340695, 1.7958904624157477, 6.560945515779526, 10.11128116542255, 13.283561067023617, 3.170671966404352, 15.573229654227568, 3.258251082406242, 16.85322092524171, 2.811288654321563, 12.48454048441887, 12.245898381115076, 8.457262678893558, 12.397691764225966, 4.841570257851226, 1.8769397914550314]",2555530.0
Marcus Williams,"[18.346127627304156, 16.134695394212407, 17.8067146610317, 15.867643637717062, 19.404408979115185, 19.417741946241016, 16.709012574968675, 20.929192710260413, 16.438470653173255, 18.56281469692422, 13.969211506519763, 14.128204942368006, 15.312663735229018, 16.214963587982872, 15.985557138574537, 20.06313203959952, 19.782160193344712, 18.18720030982934, 17.118521682368105, 14.426894120827837, 12.321819786294471, 21.258769008553713, 16.522265336884434, 11.320152550003549, 12.20064470850332]",2558847.0
Alex Anzalone,"[5.045741321911292, 3.313007404242334, 3.6758916080206605, 6.5521258709299275, 5.027562160820996, 2.9161273527691427, 4.630788864183989, 6.451312921866792, 7.001642781758165, 7.5652512252593, 9.843651098073257, 4.52602814407152, 9.709823095719713, 1.3564591527252872]",2558163.0
Kurt Coleman,"[5.125350616734475, 9.250225308311657, 8.712361125974802, 6.168735436520427, 6.2571465021137636]",494261.0
Jaylon Smith,"[5.528802951203303, 4.657898806333612, 4.181499418020654, 6.809314242295355, 10.31166652070044, 5.398447340065961, 4.542303184020371, 9.544291186918194, 11.08987762687552, 9.70755100543048, 5.19376247775566, 6.152858953206922, 11.478127774819106, 5.993687948628759, 5.780930807897078, 6.610298898594495, 9.623620970617122, 6.676014670686647, 7.2363937235022275, 10.3199928907317, 2.7122722404473563, 5.37015222689856, 1.5717882937435708, 5.281605224843061, 5.485004247029631, 6.30322686756057, 11.943793419178855, 5.446037040153379]",2555310.0
Jeff Heath,"[3.0288698697223784, 13.907930751961683, 13.248007229574348, 1.6806813468739858, 1.3508586918357923, 5.85048351903428, 12.611038441738964, 16.591409443436994, 1.9583253850409696, 3.7619845726966274, 4.511245200196468, 14.436779621554859, 25.104764364945837, 3.5956098798590372, 11.266214092139682, 3.8855695885617894, 13.537806557474555, 13.56675932115575, 7.998475347243955, 11.816361710785928, 13.199873646673145, 6.239255609498147, 13.229446301035708, 14.483675055455297, 13.562503852220507, 15.86676862062509, 18.08532428362913, 15.13485101015069]",2541832.0
Byron Jones,"[1.8916137523782135, 5.062249694696886, 5.403592977038998, 1.6641293921964095, 1.4619616234713204, 3.565717295268268, 1.7157960891945159, 5.2839863173552954, 1.3527324518037949, 7.844961174243701, 12.706497751631264, 8.58016887674426, 13.405738748273496, 2.0469838464583967, 5.9289699367173805, 1.641505835064598, 6.891199742132191, 1.6455241709651323, 1.8133421897073678, 1.6804117423213747, 1.4331532546917343, 1.237494964789564, 1.4429922438732463, 3.5996513683707665, 3.4279094826133716, 1.591590975851935, 9.256319504113057, 2.675648504649218]",2552568.0
Anthony Brown,"[10.035303293402205, 3.21205907899046, 1.342616642961357, 4.815961454858294, 4.546237289199807, 1.989889711336021, 2.587808518493286, 2.6288213248267582, 2.6583664430758867, 4.859542385460811, 11.344639752004612, 5.806481862492721, 5.788059527110735, 1.9898064818469967, 4.568691045075024, 4.60107754754862, 9.161888591299938, 4.832544750978644, 7.202097828867729, 5.303489810111504, 3.898590920877321, 6.296453301585498, 8.87814973454401, 3.9949335122749585]",2555531.0
Chidobe Awuzie,"[1.466254227172822, 1.563082635863122, 11.102237858609154, 8.607931697670926, 3.628677294818937, 5.127221275786542, 5.752117040399796, 7.863577799159256, 1.7346342956257639, 7.212913909644481, 5.518836885373351, 8.808239674629402, 15.228619696365119, 2.436900792735256, 6.878310746109439, 1.804497116604301, 8.399768553711874, 1.9996532664666138, 1.3099809475557915, 4.048078203035835, 4.873815007657397, 1.2333541347357275, 4.037383394241019, 2.1094304915545674, 7.958565573776691, 10.602893602264524, 10.083745601290147, 14.6075020204474]",2557840.0
Xavier Woods,"[18.152169404479693, 9.803099405626371, 13.083357358908334, 16.900587883561922, 10.79723489345197, 13.888038356800564, 14.859597798950764, 14.459031844325887, 18.441256392633765, 12.365631540406797, 4.329054271195902, 15.106658272094696, 22.332667626175535, 15.150408389778026, 15.164191147068802, 15.798627552703858, 14.276536120702424, 14.942095225617356, 21.611538974222885, 13.417445883995143, 17.655645706822337, 16.835909883985646, 15.78401644683987, 7.495657838817899, 13.68066440112794, 11.037143980810738, 18.480799748233164, 13.851653340492492]",2558159.0
Leighton Vander Esch,"[5.619244101077516, 7.75560405937598, 6.095845404198884, 5.242545582205832, 8.142372231666068, 8.68262642249171, 6.471141544915711, 10.10585306138977, 2.0017709321616226, 10.484306729153516, 14.519531992252896, 7.928250030674479, 3.5855082433297927, 4.194219756536543, 9.085565753009265, 9.871430607557365, 6.182175571330469, 7.617948802542065, 9.33507486811727, 11.846854516315542, 9.05591630010955, 14.752170299848805]",2560908.0
Jourdan Lewis,"[9.90401440177789, 8.481186960360986, 5.118958241217836, 2.0754750887417455, 7.7459434985910205, 6.024855718497468]",2557920.0
Damien Wilson,"[10.76530137523306, 3.5992898045262587, 9.160284867849189, 6.819048104625458]",2552686.0
Chuck Clark,"[7.473830667461772, 8.482801274933777, 7.052679156316814, 15.006340277940478, 15.63252054116476, 16.44182050327902, 8.483554916987632, 14.988309008982995, 15.316338639035777, 6.93827071202714, 14.639038494379237, 9.150205528579914, 4.6864465075238595, 18.564972529393025, 13.64214962092946, 9.900053508735951, 12.467120332920393, 3.943959175627293, 20.542753291469634, 10.509262248037258, 15.309328012161716, 19.03509951840359, 5.0771107685734655]",2558248.0
Brandon Carr,"[5.9629639150030895, 5.926011457564365, 1.039597711397989, 3.7801324781794556, 8.029797129305358, 4.367859578915893, 2.834707905284821, 1.4952453580123537, 4.987317924832669, 10.420026259471213, 2.831715400386516, 7.228441896564409, 3.5633859363397162, 4.715234465715181, 1.6774695483676907, 8.672495339447591, 2.9614636496053977]",4365.0
Eric Weddle,"[11.693359825258746, 18.53802326070851, 14.950750168941607, 12.492713914433672, 3.133149171398956, 9.87293902648902, 17.40037949521406, 10.495834704921306, 12.970232723532455, 17.49212025411688, 7.8425068646086595, 9.561265201370398, 16.73664502952066, 5.273670825417915, 12.332240983487953, 11.023679050617098, 8.127127453400439, 15.369027447714439, 2.967851872444066, 15.414828578024453, 4.746281230380839, 16.250909244407747, 1.9878347103486538]",2495775.0
Terrell Suggs,"[5.427180090837112, 5.783523332089406, 4.428277071482003, 1.0708747743664606, 4.086886865078132, 5.104224391350882, 4.1860905448150145, 3.2931224874823175, 5.458444649615953, 3.652392299065251, 5.061971695815301, 5.3828098807262785, 5.698568069867481, 5.888824503213518, 4.576033010272488, 3.1278033225469413, 4.723657708400409, 4.662244093463849]",2505660.0
Jimmy Smith,"[2.7972308942247452, 1.37485003590172, 1.634853321195117, 7.5388291643528005, 5.0662693696192225, 5.891049944411107, 2.067678359739532, 3.6468896429269035, 0.9130025004756814, 1.9876174536018825, 2.4867609769152783, 1.4241896757491208, 6.439952666903327, 1.4642664286014646, 7.245254318450022, 1.0768307886122654, 8.34856164074313, 3.041408736172027, 2.2665592250377644]",2508107.0
C.J. Mosley,"[8.2471272963101, 6.7516157172018, 3.366105981063267, 3.9958274648966907, 6.594471844069374, 6.177049400787388, 7.849543800702756, 8.852252588366632, 7.581197255730558, 6.9234978440140775, 5.729529111336743, 11.781484315335378, 6.296893385700905, 3.050622019171025, 4.889784123639441, 2.9104047279428524, 4.342991247699021, 6.905489254642418, 2.85107460467573, 2.1520090218130816, 2.407171815941188, 8.13122071330521, 5.564986964379603]",2543464.0
