name,coverage,nFlId
Genard Avery,"[7.4113297186686635, 6.626868249813774, 5.726492648797974, 5.436249748635855, 4.122114731248883, 4.044386479718855, 5.115086722636964, 5.909131449383417, 1.6611299431641402, 7.125588337774734, 6.735204615590639, 4.550380237109064, 5.796324525721227, 6.571163786309602]",2560964.0
Jamie Collins,"[4.495079079697207, 9.294199833287232, 4.740071980437214, 2.28013214846507, 4.285211191091016, 8.606149089130332, 8.847701503611763, 8.648903630094434, 11.70680164965954, 3.071883672440168, 7.383658471346265, 6.359224668007007, 5.538889191865814, 9.097858571901414, 6.208117377877018, 4.848821132239737, 4.977116198091152, 5.799601528754173, 12.165461151719605, 13.450109142743063]",2539311.0
Terrance Mitchell,"[1.3768224471812862, 2.0919263143417215, 8.11123467584404, 8.889404403183116, 5.65616489800336, 9.512683865836063, 7.1335187305277445, 4.589117901822696, 3.1515920439457434, 4.195563624855019, 6.5567449156274185, 6.630033584273946, 10.008384359517494, 8.622037006154754, 3.1683609613688843, 10.333349090542253, 8.673096634645567, 9.370141494221635, 6.70888297041951, 10.300879164229977]",2543637.0
Damarious Randall,"[13.339031877720009, 19.951123062526364, 14.717012983651511, 21.67163472240421, 14.21395705318916, 1.225125492587509, 19.431679790348166, 12.206858739901133, 1.0815004290954835, 14.558314401443438, 17.211807378528302, 12.905181063979695, 18.39659011124851, 17.90406544639039, 13.450782648884363, 1.1975864254148658, 17.503554707868417, 16.466321086166516, 17.03783101733168, 16.516026069342544, 24.246667255046393]",2552389.0
Joe Schobert,"[5.842530884127337, 7.942871585206548, 8.792798388297017, 4.5348940133034885, 2.982633099308149, 3.1562982530851063, 11.063532446502625, 4.578575798339866, 6.301577560187117, 9.359604821011473, 10.189114965517678, 9.688645879205481, 7.0057198502989015, 11.172634603927154, 11.634972663156656, 3.097378978427593, 6.695640715304046, 14.337959099877851, 12.727073027479337, 8.94332049966416, 7.862217978561379]",2555166.0
Jabrill Peppers,"[3.29704433371867, 1.8870974110391945, 4.127144493494581, 5.453751949962205, 21.14756882189355, 4.939241966202485, 19.38096038479462, 5.491496555815928, 16.36023534103844, 2.7890621965136404, 4.544066998179984, 17.75410774211175, 16.38348364365642, 17.25290959695262, 16.405334875156143]",2557980.0
Denzel Ward,"[8.983648943709106, 3.50251669881889, 7.009423323686405, 8.557538040669249, 14.289066188037228, 3.239687833270177, 7.828441450070113, 4.600842375349168, 1.3477999587416938, 9.8164495852294, 5.127822826785534, 5.207651624766311, 7.8029367015184015, 8.236871181194662, 5.478122238560397, 3.0830159494540754, 7.814065861958879, 3.140702643223228, 9.395253025418306, 7.046989266457706, 3.5507173952266475]",2560916.0
Darryl Roberts,[4.9581835803925705],2553353.0
Buster Skrine,[3.898350187603766],2495343.0
Morris Claiborne,"[3.29983478165672, 3.0079045427085247, 4.870254769931808, 9.393587971478008, 5.7011452901979975, 5.281407110750389, 4.284649221346668, 2.4741327764043564, 7.654176382060716, 1.0614978257010197, 1.4467111587207673, 3.1690367184989867, 1.615371544598275, 4.336628282852579, 5.772354929867874, 1.1278771968729882, 4.838693153759851, 2.813320647175682, 1.6637753455865372, 7.877216618070569, 1.3739326075427394, 3.281929749935742, 4.894964164342747, 6.425766312385903, 6.691887032548155]",2533059.0
