name,coverage,nFlId
Nickell Robey-Coleman,"[4.216519317969871, 6.875493073162993, 3.859672610621481, 3.3300688391993156, 8.974842841771627, 4.180528358639486, 4.6731551427274, 7.058726330456021, 6.240283055374321, 5.724542633414318, 5.252566431925656, 9.843366854040575, 3.78538874771426, 5.602567290114054, 7.29541052980598, 4.827928373862909, 5.186138957487299, 1.7298374196578459, 11.062973673751898, 3.4303200911074563, 2.617484172303802, 4.551125489757837, 5.7233812187114275, 3.397001702930471, 6.300533602211643, 5.002055295207117, 4.4396055505804055, 5.382647699776275, 5.609214492651248]",2540197.0
Sam Shields,"[1.0396174158230318, 1.3654696490380485, 3.426155120494788, 1.48664573025383, 5.5737359624354506, 1.5562605587330725, 4.708753685724895, 4.575782454690085, 4.358557082224647, 2.0751608553605636, 2.24955924382905, 5.139307172994543, 4.112709616545879, 6.065142014092204, 2.0320889820104253, 2.650994215497749, 4.485366938462898, 6.122767306953888, 1.203790645097375, 8.403116121816185, 4.724471589204606, 1.4349758021369692, 6.861410501987693, 5.004482816164211, 2.128761838014624, 1.8549298043239868, 7.493151340274922, 1.9258242365519151, 5.0655390601556745, 1.5109443907334152, 6.944634322120474, 18.926504958893087, 1.2045528547738424, 7.392500847190991, 7.709488996310108, 5.442599638385266, 1.7610367637685753, 5.885204293969352, 7.017411900543938, 7.383850494402846, 2.111178985585309, 7.682989205798213, 1.1926769092146536]",1037374.0
Lamarcus Joyner,"[4.03752182338129, 17.16924209746927, 20.095701493176296, 21.91473971979302, 7.0713254784214925, 16.56948454466814, 11.23096781971382, 13.264512208273604, 9.262997412973109, 21.228890454512214, 13.522477401251912, 15.639641974360527, 12.571926464524246, 20.981656052120275, 16.92615042745937, 6.1811793025305555, 19.5803911431712, 19.243442886322104, 15.708764914484338, 13.99325263483169, 19.26827075222185, 19.86988147076506, 15.5560866697987, 12.057844568226203, 17.995021430390334, 19.57858442707591, 19.537783444937965, 10.276290907636811, 12.499238968119828, 19.766815961909412, 7.222878816382416, 10.848292597293646, 21.49214418662399, 18.404799183797735, 6.750661038096212, 7.610079231692437, 7.625026528086951, 18.269227250372992, 15.658324901428717, 12.423421128853493, 12.35103341243634, 13.366567963645709, 17.00289336490041]",2543492.0
Marcus Peters,"[7.481000254143577, 2.638314487188958, 6.049225574976992, 3.438425132128388, 7.500113652583043, 1.6065156431647578, 3.757686433906194, 5.2752948694048785, 9.021452974113584, 1.764834817153277, 6.623602859553055, 3.728754990674474, 3.3883241177789656, 8.757902974581077, 1.7091572704925926, 6.140602906003128, 7.58901671930264, 2.2043919522604876, 1.6019048248241734, 11.827164338452693, 8.475047314858292, 15.233579518307081, 1.4260800304081214, 8.53295795588509, 8.63012465561155, 7.480096490380009, 5.289497247845711, 6.012887130883692, 1.3773596042988658, 9.225459039756279, 8.316721953266207, 4.675984365877553, 7.405597901221355, 12.604678830927385, 2.5892409022501686, 8.904836195960133, 2.107102220276123, 4.703656337253817, 6.9723484306158445, 8.291932563679122, 7.768437307446987, 11.82349653884034, 10.222940097232817]",2552488.0
Marqui Christian,"[1.3795076066028682, 3.621901120383348, 2.907088220975167, 4.421650297886384, 3.588837465778655, 7.207480567331007, 13.783048014917242, 4.63494051945018, 2.641048988344826, 3.9319387634924925, 6.204549706069801, 3.3729679636891228, 1.4373980059965388, 2.5015804579518544, 2.9931788669917525, 5.176120331440681, 5.111744231360975, 4.010203847113788, 7.400154892053195, 4.297804441190093, 2.6177538268976996, 7.981366111264027, 5.175519946093264, 7.368400557926263]",2556277.0
Cory Littleton,"[6.569887092866652, 5.17684645153814, 1.6591399287881317, 5.342299800603212, 2.260077914436645, 1.2190351688219265, 4.205904521337946, 1.9496096481738554, 9.692988926345906, 5.491664879693734, 4.756040765353632, 4.665573120695949, 6.36155918968277, 5.781821430523986, 5.518353277696085, 4.398477794135118, 5.546213436850974, 3.24944365397492, 5.567231981849496, 6.199060839444972, 5.68801146877095, 9.366606672791136, 6.671172050368408, 6.728829275428514, 10.685910942775605, 6.254058043292566, 7.048303017058275, 4.432702750583308, 5.991681324173554, 3.3507338442236474, 6.352187279963599, 7.552506544021468, 6.364809631815469, 6.446792214613451, 7.672505529581167, 4.613112911156925, 6.478630320062642, 5.476020100020592, 11.03081931732384, 7.390968858558228, 4.2091307915279454, 13.46447610305123, 12.953016376512561]",2556593.0
John Johnson,"[22.933300565295323, 6.689819650873222, 8.687640608208866, 6.128618037085775, 4.312274365457176, 8.097252075830697, 11.342278949954688, 7.573598119547536, 13.887369988680826, 3.6044536682021118, 3.2909149421010544, 3.310244909787698, 7.455501322063572, 8.081398203125445, 3.088417411126898, 2.4491155949248897, 9.239124343217469, 5.435371811229366, 9.087857750357585, 20.776578389191293, 14.832993448184888, 14.610066281664537, 10.80072348924658, 12.661915349499326, 12.349911095105238, 7.228035080277794, 7.1267724786774895, 17.064197713621528, 3.133097282595347, 10.42114632934993, 21.35766850699588, 16.511152622557063, 13.937524735305384, 3.0316226968484044, 22.190374098383735, 18.59009905057291, 18.889891590500962, 1.8978210982109436, 13.732487437655415, 12.512542477532767, 6.807624804592401, 21.038053807262198, 17.608724808278176]",2558183.0
Samson Ebukam,"[3.7858580493115888, 8.055690573709718, 1.3808306040961047, 4.829958898612953, 2.009457895432919, 5.873558890238463, 4.475259991462408, 5.857445614443067, 5.87093331584696, 4.5689583426351, 4.8464460984793645, 5.836998966932059, 5.039515300443759, 8.681048214949772, 2.380067017004027, 1.469644670052525, 3.7795958687016196, 4.485037639112835, 3.4317041909446684, 4.046038312218788, 3.9840257730541997, 4.312385784510798, 6.264640239582236, 5.090763666017743, 5.809266394860993, 5.502688098817775, 4.7805551061501355, 1.6561516219044632, 3.031019746504932, 5.0419317411626645, 4.657814023290287, 5.840524141340036, 3.961613630950157]",2558830.0
Matt Longacre,"[5.633805190729764, 6.137704584902056, 6.268230101125357, 7.824192962747669, 6.592709266994884, 4.027429658930451, 4.2656761615377725, 7.14416653134769, 4.678320227428116, 6.736194690671126, 6.29024573397295, 6.189163513077265, 6.781005580630943, 5.253503908858295, 6.511568162631104, 3.845864516852261, 5.4629874193723404, 6.625845235040836, 6.187772236923701, 4.575121343330598]",2553722.0
Ramik Wilson,"[4.1117156996037645, 7.044100027419465, 5.561118711855223, 4.023282163631672, 6.351599207793242, 4.679263428813075, 7.766233948412568, 5.7588611529389135, 8.057234538663307, 6.28467034508778, 3.36364469897566, 6.566699749437509, 3.856032568773966, 6.287827010207362, 4.386330200776554, 8.997916411013616, 8.691432735926368, 7.295070572020165, 4.836436992250474]",2552320.0
