name,coverage,nFlId
Derwin James,"[5.502494637758355, 2.94431512114022, 8.586269318954988, 5.667538514127936, 4.8436760597847055, 4.629582025623709, 7.701872640185552, 5.078795963554199, 10.825989788746599, 1.653455737793932, 7.79621596566024, 5.6342573550348325, 5.13089854278394, 2.908045502625292, 8.28980158419358, 4.831530370879952, 5.565022451215988, 4.20028124812336, 3.831983916353687, 10.306405856029906, 14.47790148879887, 1.9289623437216088, 10.325240917174092, 15.502498843273571, 2.4855651846277866, 5.435688710066906, 14.975567541572188, 2.370890368887636, 8.18831770711316]",2560760.0
Casey Hayward,"[3.9076246098650027, 5.243637606121241, 4.48041519014925, 8.274535392255707, 3.7787365793295624, 1.5559917606622278, 1.383490971004665, 6.73900807193074, 3.030374765701301, 4.247925038594168, 4.144096979978255, 7.1683252687023975, 3.259555071058818, 3.8977364725391244, 5.319590124892161, 7.505794937779759, 5.5867508104142045, 4.885091912684363, 3.6499425216306314, 6.893422265188867, 4.394761600714306, 1.4548797234754611, 4.936057719827939, 5.157448009746948, 4.5369021461911085, 4.665521090249884, 3.102722315655542, 4.120509570196296, 4.711472871114398]",2532861.0
Jahleel Addae,"[16.941967049826776, 15.88129757186879, 15.379397314215971, 13.253305425491932, 9.892891342131788, 3.711149475334349, 12.616211836096623, 16.155362652479226, 21.31446532252812, 16.852080741795355, 14.58684460595254, 11.387772192614673, 16.42188361984542, 15.221458894915632, 16.28436882453733, 15.547103775256792, 18.944264177243337, 16.24972721772881, 19.59800035346521, 14.54922293357563, 14.280738729000838, 15.371786349688655, 17.30411622330355, 15.005743993921902, 15.982652520649303, 16.212890474597632, 11.814452882947775, 7.774278092923843, 17.634141985180264]",2541958.0
Adrian Phillips,"[8.313969976158523, 10.367919500011634, 7.5260003309359504, 6.987127847641346, 6.237342054498657, 7.705992196042332, 7.292688301996711, 9.141973296091798, 8.956832159061634, 3.219848226326228, 8.701755951934256, 7.034979383837218, 7.8343708173424655, 8.632158701240702, 16.30283441645396, 11.875324546885162, 14.711052030248307, 5.936274471042919, 10.81332236680677, 6.8556401229542905, 9.436722507622951, 6.64132286190059, 10.525601503066797, 5.354277227842238, 9.06078480512509, 8.455358932483033, 6.7492179328886275, 4.131110760373994, 11.395907049541684]",2550842.0
Jatavis Brown,"[7.480824945627226, 6.591759486564538, 4.189084847858478, 3.253340143723556, 3.900940601144764, 10.203542496078006, 5.913191872616597, 6.887375335201797, 13.549103001767872, 6.910912942991464, 5.593722828340474, 3.6952604850711652, 6.688259554105081, 5.079027810662949, 5.901713659874571, 5.03763326506258, 4.665130339945865, 11.057231544571332, 5.474115435951172, 4.139149818634118, 5.003594142759881, 6.398930648310816, 10.14894479903841, 5.650427979008297, 7.535682441246639, 7.240573026276518, 4.469320709163421, 5.509570771363586, 6.45406335769955]",2556148.0
Desmond King,"[4.4082943181286725, 3.397790678860863, 3.6436492751983893, 8.100351254042975, 8.577696318279418, 6.348391604753713, 7.823057783271622, 2.6810756850284956, 4.597694165919698, 5.271769632733719, 4.082361514877237, 12.022505270379408, 4.480053460553311, 6.3286917720236175, 3.943720665908309, 6.573931869734995, 4.660529708751723, 3.1259126821553016, 6.026744737740504, 2.8602595049530084, 4.900158675018504, 4.403600327672721, 6.827491303150755, 13.124010920758405, 4.504001190177969, 6.09298214637932, 4.389345798453729, 6.1387102157945055, 5.260392977126197]",2557927.0
Michael Davis,"[7.098328131484264, 10.148962091664211, 5.954252527289042, 5.393478659875594, 2.122964550811098, 13.882580196529322, 6.53411451556989, 2.966365094913171, 3.159761801499988, 6.605006060701112, 1.4635875628246773, 3.9462090669197, 3.475416425059815, 8.8429713072275, 1.5791912962606311, 6.183072383820803, 3.056424922445023, 3.2278477141044237, 2.5059829400048086, 1.5778519611408033, 7.468819617899513, 1.4698288206470769, 3.781210363032758, 6.1622887777053155, 9.348030607807091, 1.5626351545479784, 8.504690987946246, 3.8930254237910273, 1.6065948155814576]",2559164.0
Uchenna Nwosu,"[6.561902732757918, 4.840034654886235, 5.949047710202994, 5.220869023745776, 5.0538869217913875, 4.346091042023166, 6.702986771368021, 6.408904842729987, 6.105594155316726]",2560826.0
Ron Parker,"[4.129742817528663, 18.18790929274269, 2.7620464774445432, 16.91635380948735, 11.76950730975626, 11.534998051852218, 1.6764022523509872, 4.024049200672568, 3.767188331437247, 11.036644536034583, 18.127997822677667, 13.08240616855837, 13.922717279813074, 11.329424697573533, 14.63934610961475, 17.8978222064013, 10.657718295125822, 8.412898819275329, 10.344164162159272, 2.2502724004165655, 12.42773711189022, 9.408747649562397, 20.645870310923687, 19.601253845953515, 16.751831548474847, 14.93006510744571, 9.153186027261254, 8.125922596970168, 6.135684218566434, 12.368900058353837, 20.050083886975486, 17.304750370670938, 21.37092636776084, 23.461922305888766, 8.850451751197282, 8.453515446490345, 6.380303066309478]",2530794.0
Orlando Scandrick,"[1.6109699518147595, 10.03359592120585, 9.769780076071457, 7.922232912241164, 7.314057158102182, 4.158516714430354, 3.6411201320519915, 1.9207736776717437, 6.480224825091906, 6.330573893750549, 4.983692940916253, 5.787210340364123, 13.357793091820009, 6.596478750528633, 1.6909630553795112, 6.954384884181609, 2.1084740999944893, 5.163930740812394, 5.961583973196048, 9.731794623503125, 1.830473402304799, 2.0101723489468086, 9.666696581661897, 1.474206078946968, 1.8606313346233936, 11.741164514060085, 7.355356684278993, 1.66250528162165, 1.5037397588787575, 4.576270254404517, 6.657707381551013, 1.756046681916082, 1.9400932966080662, 1.6263489091288148, 1.4724345135204926, 9.081371893896074, 2.2596580474433856]",2307.0
Eric Berry,"[19.313136509645794, 13.830147775580937, 19.012863297561232, 14.810916961723224, 14.005605914236014, 6.277169910448947, 7.009829241840314, 3.7297821262523407, 16.465242980069917, 7.646476493126322, 12.516659355047388, 17.820039272245783]",496723.0
Justin Houston,"[4.863013196836073, 6.364221736186508, 2.3551900586158414, 3.1740305197304863, 5.703247567198184, 6.845248813898039, 5.597917410752162, 1.6329865033399908, 5.953325311565451, 6.1072739894371, 6.232497039804466, 1.0630983963685596, 2.072946150794383, 2.342414288407414, 6.344368599630098, 3.4486580278454846, 6.089670510880711, 4.933885184650092, 6.045941285506919, 1.2439752160514717, 5.307414031055422, 4.0291388537533885, 5.593245314349141, 3.2636441249039505, 5.836529583052523, 5.525892011580685, 3.7983638258147376, 3.3511189739248826, 5.168392244877347, 6.136587189621264, 5.779671360383586, 6.121149292451747, 5.7780357103238815, 4.859006185537474]",2495493.0
Anthony Hitchens,"[7.857021996541543, 6.646741290986582, 11.106051329345533, 4.506132907323166, 5.932540822438891, 5.917060626813601, 7.639779418035717, 6.736861524076302, 5.747604357964697, 9.482657817394472, 6.776102548827999, 6.937238209144684, 5.959543596504549, 5.287246462730365, 6.960223055497374, 7.260818845997179, 8.70254387123296, 8.51818283805864, 6.962454207576446, 7.026510564451103, 6.512112123207909]",2543592.0
Steven Nelson,"[1.6323965447997482, 3.129116184451412, 3.342992571096571, 1.4906936700366389, 2.2727746116898158, 6.589659200610079, 2.776640963146741, 1.7133891624730924, 7.032286296197803, 7.402605514707212, 2.062645275125927, 9.616488498147394, 7.990013520115074, 2.6006229194906045, 1.515325035633436, 6.703344458367478, 1.5211375091085966, 1.714841703867313, 6.764474969317449, 4.3788996837316585, 1.6382785625699383, 8.16275444064921, 2.00350060814452, 1.6088671522221007, 1.5213843024672702, 5.970509914534338, 1.572811082290178, 2.6951797912031785, 2.553081385912321, 1.352138100222825, 1.6683326414698412, 1.7961509965222555, 1.5310687006276076, 1.6394096839568735, 2.187370424971387, 7.173383375338595, 2.515527115509013]",2552265.0
Kendall Fuller,"[4.458414554157534, 5.279363552866627, 6.592235360306153, 5.416833466937695, 8.584289597640158, 1.6290484742102562, 5.050911702983061, 2.433149955596981, 5.5642755982938, 6.120573943615951, 5.0633731711911905, 2.3018884898528116, 3.899251880733706, 9.299022291118753, 2.421841242581171, 2.3405621827041414, 2.3061676356467133, 9.42862892889324, 3.944324158614236, 7.148257478649742, 1.886453420826136, 6.7727472161986455, 5.254057478489074, 1.6583150664110544, 1.5754670709198069, 3.5948280166777047, 2.1415723440490293, 5.7848528636370204, 1.8527776691218711, 6.148449194644084, 6.935305274094771, 1.7612944728510322, 1.9749731608469463, 1.7203574124446215, 5.48960533279084, 1.7807466598571258, 2.564098604186907]",2555349.0
Dorian O'Daniel,"[7.827574991705316, 6.883274430562825, 8.512235518505202, 7.924251028006085, 4.388099039733623, 7.853066169093905, 1.9293921836037777, 5.576989721364281, 8.54109380752485, 1.5091298826210313, 5.235949649355364, 5.325333483690165, 7.397238284258405, 5.3722091181380405, 2.2084318028173735, 1.5355958106540941, 6.608377643446352, 1.692648819793287, 6.826173335694208, 5.738071471071085, 3.6673310927824376, 5.1738548105600985, 3.150910999624855, 4.341684428062067, 4.492858175379263, 5.0532788726017595, 3.9153776797841098, 5.740243648211672]",2560827.0
Daniel Sorensen,"[12.174075815807887, 1.6565112092687435, 18.333689945860716, 9.533478331816415, 17.242604181340567, 4.506990601119894, 5.830395043331706, 17.859012012710956, 12.30292988543061, 14.373623263481887, 17.641229861715363, 1.5595882401946057, 22.773383409556804, 13.115745092006746, 18.675147979181816, 16.20494014780458, 2.3823778876380746, 7.174296911821429, 6.855221171203261, 6.40761637571202, 1.782472352786491, 2.844348086227332, 1.3560768654212314, 2.9072429559082575, 1.887291716762437, 6.625188670646104, 6.630664459693054, 1.6488835350039128]",2550257.0
Reggie Ragland,"[5.394130412832594, 5.708308412291144, 4.208838575680728, 5.154663532173567, 2.589441777986654, 4.164606648963546, 4.682600271957112, 6.681010062053946]",2555169.0
Breeland Speaks,"[8.298630325830157, 5.993205605105777, 5.910299400105943]",2560881.0
Eric Murray,"[14.234340674660583, 10.962971980032055, 9.616975864422095, 8.225267273849617, 4.610205056062932, 18.339699069191656, 6.786404081418366, 14.834044375217557, 20.648061711176933, 12.34969019105328, 7.304490755416102, 9.673905868399741, 9.135257916197805]",2555173.0
Trumaine Johnson,"[1.461919625267455, 1.4683232432066027, 6.773950714150615, 6.951893917290459, 4.794192296381689, 9.91113527202207, 7.358070744588506, 20.331212175943683, 6.330125286401083, 11.179657008319458, 9.582383266609693, 1.4643292700787862, 6.4135513206802734, 4.861039307271556, 8.083589506099614, 9.582491372636632, 8.581398442704497, 7.04464811012428, 1.1912428929665637, 4.43026740375562, 8.474080807718742, 1.7457713030377762]",2532877.0
Morris Claiborne,"[3.2070344774553674, 2.011710815524948, 15.627588854798592, 2.0004337880165024, 15.88670996674896, 2.225591355580729, 4.2024699428428365, 4.09575269682684, 1.5946209231680455, 3.522767112270621, 6.772265781915147, 2.292698344674891, 6.233662714303333, 4.505091108709777, 7.000221490245769, 5.591747958864913, 3.8608736389161384, 6.398669558316244, 1.2766265368638412, 5.445877486633062, 5.896517519119982, 1.1330942186789614]",2533059.0
Avery Williamson,"[1.4543183824591865, 5.2008123132153585, 5.213488819579009, 4.724779368754398, 9.228622405570512, 6.278102254781738, 5.409048273639736, 9.242578490158087, 6.449151663171243, 9.981120720683835, 6.218094877704405, 7.921172584392195, 6.01676559655518, 7.38223838188171, 4.999032917590693, 4.126406968036772, 4.432337909772569, 4.667864274095042, 7.757301846786659, 11.270202117545802, 4.816743598917338, 6.032485916031153]",2543597.0
