name,coverage,nFlId
Adoree' Jackson,"[4.267281972540201, 3.0315567606950165, 6.061811812428548, 7.048959122862081, 6.163172001877287, 5.63388713382159, 6.231361208615057, 11.727201231133877, 6.597007278293311, 6.352643519970444, 17.845175437088145, 6.615760785012624, 5.6111474125476555, 2.1320031131948793, 5.143024308805775, 6.781330054916745, 6.866604873971577, 7.188858748978649]",2558065.0
Wesley Woodyard,"[7.212632910223472, 6.531556268845578, 4.9175983696244945, 5.307784452786599, 10.895229629572553, 7.659300594620559, 8.329151103829401, 5.557192120778922, 5.156484846613052, 4.306776219057609, 4.982886668858469, 4.670101451531024, 7.01686883345376, 10.79299788584883, 5.805756090766713, 4.612314819600338, 5.0277706360277215, 3.4303019944354887]",2354.0
Derrick Morgan,"[1.9672636545688316, 7.016673957203432, 6.0618595583224675, 5.4766557812026555, 2.450157443873967, 4.394055190514954, 1.6306356173665912, 1.5403338900058943, 5.39471331743273, 1.3052520919361408, 4.814791037650472, 5.955405985485332, 5.215423594100864, 2.958250037475902, 6.445147911549055, 6.646071700244357]",496828.0
Kenny Vaccaro,"[20.635324362170472, 21.99085189725836, 9.431060340116796, 6.780442255273761, 15.775494530582932, 13.496642183250623, 22.112578793903705, 3.5258190629934036, 1.0407472948033976, 5.9402223415709265, 14.290233361172085, 5.331774104020249, 15.054022458365186, 18.7243055787745, 5.593214290731062, 5.5841510222759565, 4.015352103516761, 25.707520495279134]",2539320.0
Malcolm Butler,"[1.6464144326629397, 1.2076884749935062, 4.368058432250665, 4.554776292802247, 6.772445212743504, 6.677949482588882, 6.32515754191992, 3.153143162801681, 1.8916258936635038, 1.4298521841110226, 2.716100485954575, 5.156878124520673, 1.940423913138804, 1.070766897786624, 1.182572383078413, 7.8729821009177785, 5.309611837847712, 4.90797961793452]",2550613.0
Kevin Byard,"[5.321619913148444, 1.0925685296988696, 11.040597964843863, 17.61291593741689, 7.560057652508809, 11.753231262131713, 4.485669884711213, 8.851170723578859, 17.660104320413357, 7.1593889317525345, 11.844670641643559, 16.037572347239916, 11.18363415396093, 5.746370191382427, 12.458046754183403, 11.82912565686624, 18.37305537701145, 9.593087482787244]",2555158.0
LeShaun Sims,"[5.875498324397489, 2.367608686470748, 9.943440797980804, 8.506267450309482, 4.391106090246764, 1.3691479622329379, 1.3008617272845155, 2.5565462334034645, 4.738578781760536, 7.58018425193362, 2.019138873212862, 3.6318599568562866, 6.368568335288163, 4.478544708859356, 1.4947720000618445, 2.970035164555188]",2555551.0
Jayon Brown,"[8.554826987227445, 5.0207462272100285, 4.264682109514177, 4.838038406703966, 5.396703016630604, 4.494314896935304, 8.225683960814784, 5.385495442547406, 7.760739424782292, 6.869771985311797, 7.521702668262625, 6.547795766583733, 2.997488952245748, 7.773183110513412, 4.184526226327049]",2558005.0
Rashaan Evans,"[5.291312634223223, 10.327840027245525, 4.942442756734435, 4.7769091117525155, 1.711226867809832, 6.261662487139904, 5.774886281515257]",2560718.0
Harold Landry,"[5.479733209028799, 4.663738494705908, 7.762044965840422, 4.17897881394527, 2.5889582441181114, 4.780002111444353, 2.501331284448992, 4.5349480632766275, 8.734450964870584, 3.7253414991936196, 6.686246839302863]",2560784.0
