,name,reaction_rate,time_to_react
2354.0,Wesley Woodyard,"[0.8002857142857143, 0.7166666666666667, 0.6818181818181818, 0.6721311475409836, 0.5575409836065573, 0.5283018867924528, 0.5833333333333334, 0.21874999999999994, 0.5, 0.5399999999999998]","[1.8, 0.6000000000000001, 1.1, 0.8, 0.0, 0.1, 0.0, 0.0, 1.1, 0.0]"
496828.0,Derrick Morgan,"[0.15656249999999997, 0.485, 0.6063934426229507, 0.5575409836065573, 0.5283018867924528, 0.5833333333333334, 0.38487179487179485, 0.12499999999999986, 0.6801999999999999]","[0.5, 0.0, 0.4, 0.0, 0.1, 0.0, 0.0, 0.0, 1.2000000000000002]"
2539320.0,Kenny Vaccaro,"[0.5457575757575757, 0.5833333333333334, 0.5153030303030303, 0.8031147540983605, 0.5575409836065573, 0.5283018867924528, 0.5833333333333334, 0.38487179487179485, 0.12499999999999986, 0.30000000000000004]","[1.0, 0.0, 0.1, 1.3, 0.0, 0.1, 0.0, 0.0, 0.0, 0.4]"
2550613.0,Malcolm Butler,"[0.34285714285714275, 0.5833333333333334, 0.5081967213114754, 0.7540983606557377, 0.75, 0.38487179487179485, 0.12499999999999986, 0.32020000000000004, 0.5798]","[0.0, 0.0, 0.0, 0.9, 0.0, 0.0, 0.0, 0.6000000000000001, 0.1]"
2555158.0,Kevin Byard,"[0.06249999999999992, 0.5833333333333334, 0.6365151515151515, 0.6721311475409836, 0.5575409836065573, 0.5283018867924528, 0.4361538461538461, 0.12499999999999986, 0.34, 0.5399999999999998]","[0.2, 0.0, 0.9, 0.6000000000000001, 0.0, 0.1, 0.2, 0.0, 0.5, 0.0]"
2555551.0,LeShaun Sims,"[0.6574285714285714, 0.6245312500000002, 0.5833333333333334, 0.6668181818181818, 0.5081967213114754, 0.5575409836065573, 0.5283018867924528, 0.5833333333333334, 0.38487179487179485, 0.12499999999999986, 0.5399999999999998]","[0.7000000000000001, 0.2, 0.0, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0]"
2558005.0,Jayon Brown,"[0.17203124999999994, 0.3684210526315793, 0.7665, 0.5303030303030303, 0.6229508196721312, 0.5283018867924528, 0.5833333333333334, 0.6666666666666666, 0.8600000000000001, 0.5399999999999998]","[0.6000000000000001, 0.0, 0.0, 0.0, 0.4, 0.1, 0.0, 0.0, 0.1, 0.0]"
2560718.0,Rashaan Evans,"[0.588529411764706, 0.33333333333333326, 0.5833333333333334, 0.59375]","[1.5, 0.6000000000000001, 0.0, 0.0]"
2560784.0,Harold Landry,"[0.5457575757575756, 0.5833333333333334, 0.12499999999999986, 0.5399999999999998]","[1.0, 0.0, 0.0, 0.0]"
2495190.0,Ryan Kerrigan,"[0.2853571428571429, 0.3139999999999999, 0.5357142857142857, 0.5098039215686274, 0.49980769230769234, 0.6540384615384617]","[0.6000000000000001, 0.0, 0.0, 0.30000000000000004, 0.1, 0.1]"
2495281.0,Mason Foster,"[0.3567857142857144, 0.6285714285714286, 0.9038461538461539, 0.5892857142857143, 0.43156862745098035, 0.647962962962963, 0.6730769230769231, 0.6668627450980392]","[0.9, 0.6000000000000001, 0.9, 0.30000000000000004, 0.1, 0.4, 0.7000000000000001, 0.0]"
2532920.0,Josh Norman,"[0.08652173913043479, 0.5382692307692307, 0.5357142857142857, 0.4805769230769231, 0.4583333333333333, 0.610925925925926, 0.5001923076923077, 0.6668627450980392]","[0.0, 1.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0]"
2539943.0,D.J. Swearinger,"[0.5714285714285713, 0.04545454545454539, 0.36538461538461536, 0.5357142857142857, 0.49039215686274507, 0.4805769230769231, 0.5002083333333334, 0.4257407407407407, 0.5769230769230769, 0.6668627450980392]","[0.0, 0.1, 0.5, 0.0, 0.2, 0.0, 0.2, 0.30000000000000004, 0.4, 0.0]"
2543470.0,Ha Ha Clinton-Dix,"[0.1481481481481481, 0.7722727272727273, 0.5192307692307693, 0.5357142857142857, 0.725686274509804, 0.7690384615384614, 0.5833333333333331, 0.3701851851851851, 0.4040384615384615, 0.6668627450980392]","[0.2, 0.8, 0.0, 0.0, 0.1, 0.6000000000000001, 0.2, 0.0, 0.1, 0.0]"
2552276.0,Preston Smith,"[0.5192307692307693, 0.5357142857142857, 0.43156862745098035, 0.4583333333333333, 0.5578846153846154, 0.6668627450980392]","[0.8, 0.0, 0.1, 0.0, 0.2, 0.0]"
2561003.0,Shaun Dion Hamilton,"[0.18481481481481474, 0.5869565217391305, 0.5098039215686274, 0.6728846153846154, 0.6668627450980392]","[0.4, 0.8, 0.2, 1.0, 0.0]"
2558136.0,Fabian Moreau,"[0.31578947368421056, 0.24980769230769223, 0.6428571428571429, 0.43156862745098035, 0.4805769230769231, 0.4583333333333333, 0.3701851851851851, 0.5192307692307693]","[1.0, 0.0, 0.5, 0.1, 0.0, 0.0, 0.0, 0.5]"
2560886.0,Greg Stroman,"[0.60025, 0.09045454545454548, 0.730576923076923, 0.43156862745098035, 0.4805769230769231, 0.4791666666666667, 0.7222222222222223]","[1.5, 0.1, 1.3, 0.1, 0.0, 0.2, 0.30000000000000004]"
2532804.0,Zach Brown,"[0.434782608695652, 0.4421153846153845, 0.5357142857142857, 0.6875, 0.5183333333333333, 0.5192307692307693]","[0.0, 0.6000000000000001, 0.0, 0.4, 0.1, 0.30000000000000004]"
2558065.0,Adoree' Jackson,"[0.5833333333333334, 0.485, 0.5572131147540984, 0.5575409836065575, 0.5283018867924528, 0.5833333333333334, 0.513076923076923, 0.8124999999999999, 0.5202000000000002, 0.5399999999999998]","[0.0, 0.9, 0.0, 0.0, 0.1, 0.0, 0.30000000000000004, 0.0, 0.5, 0.0]"
2555339.0,Kamalei Correa,"[0.6213513513513516, 0.6831666666666666, 0.6515151515151515, 0.5081967213114754, 0.5283018867924528, 0.38487179487179485, 0.5801999999999999, 0.5399999999999998]","[0.1, 0.4, 0.0, 0.0, 0.1, 0.0, 1.1, 0.0]"
2495201.0,Pernell McPhee,"[0.07960000000000003, 0.4583333333333333]","[0.2, 0.0]"
2557853.0,Ryan Anderson,"[0.040000000000000036, 0.4805769230769231, 0.6664814814814813]","[0.1, 0.0, 0.8]"
4365.0,Brandon Carr,"[0.2815625, 0.4321621621621622, 0.18781249999999997, 0.1, 0.8061290322580641]","[0.4, 0.0, 0.0, 0.0, 0.0]"
2495775.0,Eric Weddle,"[0.2857142857142852, 0.5348837209302325, 0.09374999999999986, 0.4321621621621622, 0.18781249999999997, 0.1, 0.22548387096774183, 0.5003124999999999, 0.3055555555555556]","[0.7000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2]"
2508107.0,Jimmy Smith,"[0.5348837209302325, 0.09374999999999986, 0.18781249999999997, 0.1, 0.09677419354838696, 0.40656249999999994, 0.2775000000000001]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0]"
2540164.0,Tony Jefferson,"[0.7211627906976744, 1.033166666666666, 0.5312499999999999, 0.4321621621621622, 0.18781249999999997, 0.1, 0.09677419354838696, 0.40656249999999994, 0.2775000000000001]","[0.0, 0.1, 0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0]"
2543464.0,C.J. Mosley,"[0.6048837209302325, 0.4687499999999998, 0.48621621621621625, 0.18781249999999997, 0.09677419354838696, 0.5003124999999999, 0.5552777777777779]","[0.0, 0.1, 0.2, 0.0, 0.0, 0.1, 0.0]"
2552279.0,Za'Darius Smith,"[1.5183333333333346, 0.24999999999999986, 0.1, 0.40656249999999994, 0.4444444444444444]","[1.0, 0.30000000000000004, 0.0, 0.1, 0.4]"
2555378.0,Tavon Young,"[0.5813953488372093, 0.6249999999999999, 0.4321621621621622, 0.21875000000000003, 0.5000000000000002]","[0.1, 1.1, 0.0, 0.1, 0.5]"
2556642.0,Patrick Onwuasor,"[0.7849999999999999, 0.8108108108108109, 0.40656249999999994, 0.2775000000000001]","[0.5, 0.7000000000000001, 0.1, 0.0]"
2532861.0,Casey Hayward,"[0.7997142857142858, 0.15384615384615374, 0.22772727272727272]","[0.5, 0.4, 0.2]"
2541958.0,Jahleel Addae,"[0.660967741935484, 0.025641025641025526, 0.5510204081632653, 0.22772727272727272]","[2.9000000000000004, 0.0, 0.0, 0.0]"
2552296.0,Kyle Emanuel,"[0.5804838709677421, 0.35897435897435886]","[2.9000000000000004, 0.0]"
2559164.0,Michael Davis,"[0.49966666666666676, 0.43615384615384584, 0.09090909090909091]","[2.8000000000000003, 0.0, 0.0]"
2560760.0,Derwin James,"[0.6000000000000003, 0.17974358974358962, 0.7147619047619045, 0.09090909090909091]","[0.5, 0.5, 0.9, 0.0]"
2560826.0,Uchenna Nwosu,"[0.3884722222222224, 0.1284615384615384]","[0.0, 0.2]"
2550842.0,Adrian Phillips,[0.09090909090909091],[0.0]
2556148.0,Jatavis Brown,[0.45500000000000007],[0.0]
2557927.0,Desmond King,[],[]
2558067.0,Marlon Humphrey,"[0.5154687500000004, 0.5348837209302325, 0.4321621621621622, 0.5480645161290321, 0.40656249999999994, 0.5833333333333335]","[2.6, 0.0, 0.0, 0.5, 0.1, 0.6000000000000001]"
2558166.0,Tyus Bowser,"[0.5917105263157897, 0.40624999999999994, 0.1]","[1.0, 0.1, 0.0]"
2505660.0,Terrell Suggs,"[0.4321621621621622, 0.34406249999999994, 0.5480645161290322, 0.40656249999999994, 0.4719444444444445]","[0.0, 0.4, 0.7000000000000001, 0.1, 0.5]"
2555505.0,Matt Judon,"[0.5348837209302325, 1.3331481481481493, 0.1, 0.322258064516129, 0.40656249999999994, 0.3055555555555556]","[0.0, 1.0, 0.0, 0.5, 0.1, 0.2]"
2560947.0,Kenny Young,"[0.22222222222222218, 0.18781249999999997]","[0.30000000000000004, 0.0]"
2508004.0,Anthony Levine,"[0.9232692307692313, 0.09374999999999986, 0.3005000000000001, 0.5161290322580645]","[0.2, 0.0, 0.0, 0.6000000000000001]"
2532875.0,Janoris Jenkins,"[0.21428571428571427, 0.3181818181818182, 0.3444827586206896, 0.4, 0.6002857142857142, 0.7894736842105263, 0.1428571428571428, 0.20000000000000004, 0.8002857142857143, 0.38461538461538464, 0.7586206896551724]","[0.0, 0.1, 0.0, 0.0, 0.2, 0.1, 0.1, 0.1, 0.9, 0.0, 0.6000000000000001]"
2533534.0,Olivier Vernon,"[0.21428571428571427, 0.3181818181818182, 0.5520689655172413, 0.3444827586206896, 0.4, 0.5145714285714286, 0.7894736842105263, 0.09571428571428567, 0.16, 0.3145714285714286, 0.38461538461538464, 0.3103448275862069]","[0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.4, 0.0, 0.0]"
2535687.0,Michael Thomas,"[1.0588235294117645, 0.21428571428571427, 0.3181818181818182, 0.5520689655172413, 0.3444827586206896, 0.4, 0.5145714285714286, 0.7894736842105263, 0.28571428571428564, 0.2571428571428571, 0.38461538461538464, 0.3103448275862069]","[0.7000000000000001, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0, 0.1, 0.1, 0.4, 0.0, 0.0]"
2543738.0,Kareem Martin,"[0.21428571428571427, 0.3181818181818182, 0.3444827586206896, 0.4, 0.5145714285714286, 0.7894736842105263, 0.09571428571428567, 0.5599999999999999, 0.38461538461538464, 0.3103448275862069]","[0.0, 0.1, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0]"
2553822.0,Curtis Riley,"[0.28571428571428575, 0.3181818181818182, 0.5520689655172413, 0.6203448275862068, 0.4, 0.5714285714285714, 0.7894736842105263, 0.09571428571428567, 0.16, 0.5714285714285714, 0.38461538461538464, 0.3103448275862069]","[0.1, 0.1, 0.1, 0.0, 0.0, 0.1, 0.1, 0.1, 0.0, 0.9, 0.0, 0.0]"
2555522.0,B.J. Goodson,"[0.21428571428571427, 0.5520689655172413, 0.5145714285714286, 0.7894736842105263, 0.68, 0.4000000000000001, 0.38461538461538464, 0.3103448275862069]","[0.0, 0.1, 0.0, 0.1, 0.7000000000000001, 0.7000000000000001, 0.0, 0.0]"
2561001.0,Grant Haley,"[0.4752500000000001, 0.3181818181818182, 0.5520689655172413, 0.3444827586206896, 0.4, 0.7894736842105263, 0.24040000000000003]","[0.6000000000000001, 0.1, 0.1, 0.0, 0.0, 0.1, 0.2]"
2561318.0,Tae Davis,"[0.4003333333333331, 0.28571428571428575, 0.6844736842105262, 0.6896551724137931, 0.3444827586206896, 0.4, 0.5145714285714286, 0.7894736842105263, 0.16, 0.2857142857142857, 0.38461538461538464, 0.3103448275862069]","[0.4, 0.2, 1.9000000000000001, 0.30000000000000004, 0.0, 0.0, 0.0, 0.1, 0.0, 0.5, 0.0, 0.0]"
238227.0,Mike Mitchell,"[0.3932142857142859, 0.7760344827586206, 0.4857142857142857, 0.15960000000000005, -2.383846153846157]","[0.1, 0.1, 0.0, 0.0, 0.0]"
2543811.0,Pierre Desir,"[0.5094339622641509, 0.7777777777777775, 0.407037037037037, 0.2688461538461538, 0.41935483870967744, 0.7142857142857143, 0.27586206896551724, 0.17114285714285704, -4.4156597570318725e-18, 0.15960000000000005, -2.383846153846157]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0]"
2557961.0,Quincy Wilson,"[0.41935483870967744, 0.4857142857142857, -2.383846153846157]","[0.0, 0.0, 0.0]"
2558060.0,Malik Hooker,"[0.5094339622641509, 0.407037037037037, 0.2688461538461538, 0.41935483870967744, 0.4857142857142857, 0.10344827586206899, 0.2285714285714285, -4.4156597570318725e-18, 0.15960000000000005, -2.383846153846157]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.0]"
2559037.0,Ahmad Thomas,"[0.29411764705882354, 0.4230769230769231]","[0.0, 0.1]"
2560789.0,Darius Leonard,"[0.407037037037037, 0.4996153846153846, 0.41935483870967744, 0.7142857142857143, 0.6900000000000001, 0.17114285714285704, -2.383846153846157]","[0.0, 0.5, 0.0, 0.4, 0.9, 0.0, 0.0]"
2558976.0,Kenny Moore,"[0.5094339622641509, 0.407037037037037, 0.2688461538461538, 0.5806451612903226, 0.10344827586206899, 0.09090909090909093, -2.383846153846157]","[0.0, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0]"
2561131.0,George Odum,"[0.43159090909090897, 0.5094339622641509, 0.34615384615384603, 0.41935483870967744, 0.3793103448275862, 0.17114285714285704, -4.4156597570318725e-18]","[1.2000000000000002, 0.0, 0.0, 0.0, 0.7000000000000001, 0.0, 0.0]"
