,name,reaction_rate,time_to_react
494307.0,Darian Stewart,[0.3333333333333333],[0.30000000000000004]
2495202.0,Von Miller,"[0.15307692307692317, 0.77525, 0.40028571428571424, 0.06896551724137931]","[0.0, 0.1, 0.0, 0.0]"
2532898.0,Brandon Marshall,"[0.05357142857142862, 0.400285714285714, 0.5714285714285714, 0.15307692307692317, 0.5576923076923077, 0.77525, 0.4548484848484849, 0.6129032258064515, 0.10379310344827586]","[0.2, 0.4, 0.1, 0.0, 1.3, 0.1, 0.8, 0.1, 0.1]"
2543505.0,Bradley Roby,"[0.9557352941176472, 0.5714285714285714, 0.15307692307692317, 0.0285714285714286, 0.3639393939393939, 0.6571428571428571, 0.22580645161290308, 0.06896551724137931]","[0.6000000000000001, 0.1, 0.0, 0.1, 0.5, 0.7000000000000001, 0.0, 0.0]"
2550930.0,Todd Davis,"[0.14285714285714274, 0.15307692307692317, 0.8892592592592592, 0.3033333333333334, 0.22580645161290308, 0.3103448275862069]","[0.4, 0.0, 0.2, 0.5, 0.0, 0.5]"
2555550.0,Justin Simmons,"[0.3000000000000001, 0.4030555555555555, 0.8124999999999998, 0.393939393939394, 0.45714285714285713, 0.4841935483870967, 0.06896551724137931]","[0.8, 0.4, 0.0, 0.6000000000000001, 0.1, 0.0, 0.0]"
2495504.0,Patrick Peterson,"[0.35024999999999995, 0.3, 0.2087499999999999, 0.057142857142857016]","[0.0, 0.0, 0.1, 0.0]"
2495807.0,Antoine Bethea,"[0.3, 0.2087499999999999]","[0.0, 0.1]"
2530491.0,Josh Bynes,"[0.36363636363636387, 0.47524999999999995, 0.3, 0.49999999999999983, 0.057142857142857016]","[0.2, 0.4, 0.0, 0.4, 0.0]"
2543855.0,Bene' Benwikere,"[0.325, 0.34285714285714264]","[0.0, 0.6000000000000001]"
2557887.0,Haason Reddick,"[0.33333333333333365, 0.325, 0.3, 0.2087499999999999, 0.08542857142857135]","[0.30000000000000004, 0.0, 0.0, 0.1, 0.1]"
2558174.0,Rudy Ford,"[0.39562499999999984, 0.3, 0.2087499999999999, 0.057142857142857016]","[0.1, 0.0, 0.1, 0.0]"
2558009.0,Budda Baker,"[0.3, 0.5833333333333334, 0.19999999999999987]","[0.0, 0.6000000000000001, 0.5]"
2530510.0,Chris Harris,"[0.08823529411764701, 0.5714285714285714, 0.15307692307692317, 0.06090909090909088, 0.40028571428571424, 0.22580645161290308]","[0.2, 0.1, 0.0, 0.0, 0.0, 0.0]"
2556278.0,Will Parks,"[0.3888888888888888, 0.15307692307692317, 0.2124242424242424, 0.40028571428571424, 0.06896551724137931]","[0.30000000000000004, 0.0, 0.30000000000000004, 0.0, 0.0]"
2550541.0,Shaquil Barrett,"[0.15307692307692317, 0.22580645161290308]","[0.0, 0.0]"
2507917.0,Tramaine Brock,"[0.5806451612903226, 0.77525, 0.40028571428571424, 0.22580645161290308]","[0.0, 0.1, 0.0, 0.0]"
2539937.0,Shamarko Thomas,[0.40028571428571424],[0.0]
2560763.0,Josey Jewell,[0.4757142857142857],[0.6000000000000001]
2560946.0,Isaac Yiadom,[],[]
2532861.0,Casey Hayward,"[0.23000000000000012, 0.627674418604651, 0.6057746478873238, 0.6349206349206349, 0.6416417910447761, 0.5083050847457626, 0.3930357142857143, 0.30434782608695654, 0.2291666666666666, 0.5555555555555556, 0.4210526315789473, 0.7356603773584908, 0.5363414634146341]","[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.0, 0.9, 0.7000000000000001, 0.0]"
2541958.0,Jahleel Addae,"[0.2325581395348837, 0.6057746478873238, 0.6665079365079364, 0.6416417910447761, 0.5083050847457626, 0.3177272727272724, 0.5432608695652175, 0.27083333333333326, 0.5555555555555556, 0.3030303030303029, 0.21052631578947367, 0.4149056603773584, 0.5363414634146342, 0.5185185185185185]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.8, 0.7000000000000001, 0.1, 0.0, 0.0, 0.30000000000000004, 0.1, 0.0, 0.0]"
2550842.0,Adrian Phillips,"[0.19933333333333328, 0.674186046511628, 0.8093650793650794, 0.5083050847457626, 0.4716981132075472, 0.5363414634146341, 0.5185185185185185]","[0.1, 0.0, 0.1, 0.0, 0.1, 0.0, 0.0]"
2556828.0,Trevor Williams,"[0.37541666666666657, 0.18604651162790697, 0.6057746478873238, 0.7444680851063832, 0.6665079365079365, 0.7761194029850746, 0.7796610169491526, 0.40893939393939394, 0.5432608695652174, 0.6874999999999999, 0.5555555555555556, 0.6666666666666665, 0.3686842105263157, 0.16962264150943374, 0.5363414634146341]","[0.5, 0.0, 0.0, 0.6000000000000001, 0.1, 0.5, 1.2000000000000002, 0.30000000000000004, 0.5, 0.9, 0.0, 1.0, 0.6000000000000001, 0.0, 0.0]"
2558182.0,Rayshawn Jenkins,"[0.041250000000000085, 0.7299999999999999, 0.9615384615384617, 0.5363414634146341]","[0.1, 0.0, 2.2, 0.0]"
2560760.0,Derwin James,"[0.88, 0.7466197183098591, 0.6765686274509806, 0.6825396825396826, 0.45652173913043476, 0.29187499999999994, 0.6, 0.3030303030303029, 0.5792105263157895, 0.45264150943396214, 0.5363414634146341, 0.58]","[0.6000000000000001, 0.6000000000000001, 1.6, 0.30000000000000004, 0.4, 0.4, 0.2, 0.0, 0.5, 1.4000000000000001, 0.0, 1.1]"
2552310.0,Denzel Perryman,"[0.4166666666666667, 0.44162790697674414, 0.6901408450704225, 0.6714925373134328, 0.5254237288135593, 0.8041304347826087, 0.4585416666666666, 0.4245454545454545, 0.3421052631578947, 0.5185185185185185]","[0.5, 0.1, 0.30000000000000004, 0.2, 0.0, 1.1, 0.1, 0.4, 0.6000000000000001, 0.0]"
2556148.0,Jatavis Brown,"[0.37541666666666657, 0.6619718309859155, 0.7446808510638298, 0.7162686567164179, 0.9684374999999994, 0.6519565217391304, 0.375, 0.7557777777777779, 0.5454545454545454, 0.5526315789473684, 0.6035849056603771]","[0.5, 0.2, 0.1, 0.30000000000000004, 0.9, 1.0, 0.5, 0.6000000000000001, 0.0, 0.1, 0.1]"
2557927.0,Desmond King,"[0.0947619047619049, 0.5083050847457626, 0.22727272727272704, 0.6, 0.3030303030303029]","[0.1, 0.0, 1.8, 0.2, 0.0]"
2354.0,Wesley Woodyard,"[0.5670192307692313, 0.45918032786885254, 0.75, 0.7806849315068493, 0.1348648648648649, 0.28205128205128194, 0.3999999999999999, 0.5135135135135134, 0.5128205128205128, 0.6153846153846154, 0.4163888888888889, 0.717692307692308]","[1.4000000000000001, 0.1, 1.2000000000000002, 0.30000000000000004, 0.0, 0.5, 0.7000000000000001, 0.1, 0.1, 0.0, 0.0, 0.0]"
71423.0,Brian Orakpo,"[0.49979166666666736, 0.6065573770491804, 0.3164999999999999, 0.5135135135135136, 0.2288571428571427, 0.35162162162162164, 0.5128205128205128, 0.6153846153846154, 0.4163888888888889]","[2.1, 2.6, 0.0, 0.30000000000000004, 0.1, 0.1, 0.1, 0.0, 0.0]"
494277.0,Kendrick Lewis,"[0.8331481481481485, 0.21327868852459014, 0.7331666666666666, 0.7669863013698629, 0.5382692307692307, 0.35108108108108105, 0.2820512820512819, 0.45742857142857135, 0.7837837837837838, 0.5128205128205128, 0.6153846153846154, 0.4444444444444444, 0.3074358974358975]","[0.30000000000000004, 0.0, 1.0, 0.0, 0.0, 0.1, 0.6000000000000001, 0.5, 0.7000000000000001, 0.1, 0.0, 0.1, 0.0]"
2555158.0,Kevin Byard,"[0.6183898305084748, 0.8206603773584904, 0.7, 0.7806849315068493, 0.5382692307692307, 0.18918918918918923, 0.07717948717948715, 0.19999999999999987, 0.2975675675675675, 0.5128205128205128, 0.7777777777777778, 0.3074358974358975]","[0.5, 0.0, 0.30000000000000004, 0.9, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1, 0.5, 0.0]"
