,name,reaction_rate,time_to_react
4365.0,Brandon Carr,"[0.5187037037037037, 0.11960000000000004, 0.407037037037037, 0.05315789473684205, 0.13366666666666654, 0.3939393939393939, 0.70296875, 0.576271186440678, 0.6741860465116278, 1.4456028966473393e-18, 0.6585365853658537, 0.4636585365853658]","[0.0, 0.0, 0.0, 0.1, 0.2, 0.0, 0.8, 0.0, 0.0, 0.1, 0.1, 0.0]"
2495775.0,Eric Weddle,"[0.5187037037037037, 0.11960000000000004, 0.407037037037037, 0.05315789473684205, 0.06666666666666651, 0.3939393939393939, 0.7342187500000001, 0.576271186440678, 0.6741860465116278, 1.4456028966473393e-18, 0.4239393939393939, 0.6585365853658537, 0.6341463414634148, 0.14321428571428566]","[0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.4, 0.30000000000000004]"
2505660.0,Terrell Suggs,"[0.407037037037037, 0.05315789473684205, 0.3939393939393939, 0.5625, 0.576271186440678, 0.6741860465116278, 0.4636585365853658, 0.3749999999999999]","[0.0, 0.1, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1]"
2540164.0,Tony Jefferson,"[0.6112962962962962, 0.11960000000000004, 0.407037037037037, 0.13366666666666654, 0.3939393939393939, 0.84375, 0.576271186440678, 0.6741860465116278, 0.2996666666666667, 0.5148484848484847, 0.6585365853658537, 0.4636585365853658, 0.5940624999999998]","[0.2, 0.0, 0.0, 0.1, 0.0, 1.1, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 1.3]"
2552279.0,Za'Darius Smith,"[0.5187037037037037, 0.11960000000000004, 0.19966666666666655, 0.4239393939393939, 0.6585365853658537, 0.6060606060606061]","[0.0, 0.0, 0.1, 0.0, 0.1, 0.2]"
2556642.0,Patrick Onwuasor,"[0.5187037037037037, 0.11960000000000004, 0.407037037037037, 0.06666666666666651, 0.666969696969697, 0.6741860465116278, 1.4456028966473393e-18, 0.4239393939393939, 0.6585365853658537, 0.4636585365853658, 0.5940624999999999]","[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.1, 0.0, 0.1, 0.0, 1.2000000000000002]"
2558067.0,Marlon Humphrey,"[0.4509803921568628, 0.5370370370370371, 0.4, 0.407037037037037, 0.06666666666666651, 0.8047222222222223, 0.3939393939393939, 0.49984375000000003, 0.576271186440678, 0.6741860465116278, 0.433, 0.4239393939393939, 0.6585365853658537, 0.037037037037036986]","[0.2, 0.1, 0.5, 0.0, 0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.1, 0.1]"
2560947.0,Kenny Young,"[0.6078431372549019, 0.26666666666666655, 0.3939393939393939, 0.6560937499999999, 0.6741860465116278, 0.46633333333333327, 0.4239393939393939, 0.6585365853658537, 0.4636585365853658]","[0.9, 0.5, 0.0, 0.6000000000000001, 0.0, 0.0, 0.0, 0.1, 0.0]"
2539233.0,Shawn Williams,"[0.3478260869565217, 0.7164179104477612, 0.0353571428571429, 0.5238095238095238, 0.25031249999999994, 0.47058823529411764, 0.5402702702702702, 0.47368421052631576, 0.31218750000000006, 0.1616129032258064, 0.5280555555555555, 0.367, 0.2]","[0.30000000000000004, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0]"
2543474.0,Darqueze Dennard,"[0.56, 0.5774647887323944, 0.8412698412698413, 0.5238095238095238, 0.25031249999999994, 0.5402702702702702, 0.47368421052631576, 0.658157894736842, 0.31218750000000006, 0.5806451612903226, 0.3333333333333333, 0.2]","[0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.7000000000000001, 0.0, 0.0]"
