,name,reaction_rate,time_to_react
2543811.0,Pierre Desir,"[0.375, 0.0964516129032257, 0.40625, 0.40028571428571424, 0.45742857142857135, 0.21739130434782608, 0.6071428571428571, 0.0625, 0.8423684210526318, 0.4117647058823528, 0.10379310344827583, 0.3567857142857142, 0.11764705882352941, 0.21594594594594596, 0.3793103448275862, 0.12458333333333309, 0.4444444444444444]","[0.0, 0.0, 0.6000000000000001, 0.4, 0.5, 0.0, 0.0, 0.0, 1.2000000000000002, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.5]"
2552386.0,Clayton Geathers,"[0.375, 0.2903225806451612, 0.6565624999999999, 0.5142857142857142, 0.4784782608695652, 0.717391304347826, 0.14285714285714285, 0.6521739130434784]","[0.0, 0.2, 1.1, 0.7000000000000001, 0.4, 0.0, 0.0, 0.0]"
2558060.0,Malik Hooker,"[0.15346153846153857, 0.375, 0.4835483870967741, 0.24999999999999992, 0.14285714285714285, 0.782608695652174, 0.717391304347826, 0.19999999999999993, 0.33361111111111064, 0.0625, 0.395, 0.11764705882352941, 0.6060606060606061, 0.3564285714285713, 0.10379310344827583, 0.3567857142857142, 0.14676470588235288, 0.4054054054054053, 0.5858620689655172, 0.7268181818181817, 0.2780555555555555]","[0.2, 0.0, 0.5, 0.1, 0.1, 1.1, 0.0, 0.1, 0.5, 0.0, 0.8, 0.0, 0.0, 0.4, 0.0, 0.0, 0.2, 0.5, 0.1, 1.7000000000000002, 0.0]"
2558988.0,Lenzy Pipkins,"[0.375, 0.5480645161290322, 0.4378125, 0.2574285714285714, 0.9132608695652175, 0.8260869565217391, 0.14285714285714285, 0.9285714285714286, 0.0625, 0.44763157894736844, 0.11764705882352941, 0.6060606060606061, 0.10379310344827583, 0.3567857142857142, 0.5588235294117647, 0.43216216216216197, 0.6129545454545453]","[0.0, 1.1, 0.7000000000000001, 0.30000000000000004, 0.2, 0.30000000000000004, 0.0, 1.1, 0.0, 0.6000000000000001, 0.0, 0.0, 0.0, 0.0, 0.9, 0.30000000000000004, 1.6]"
2559087.0,Arthur Maulet,"[0.076923076923077, 0.3333333333333328, 0.38677419354838705, 0.21875000000000003, 0.14285714285714285, 0.3697826086956521, 0.9128260869565218, 0.14285714285714285, 0.0625, 0.3160526315789473, 0.11764705882352941, 0.6060606060606061, 0.3567857142857142, 0.3529411764705882]","[0.1, 0.6000000000000001, 0.5, 0.1, 0.1, 0.1, 1.0, 0.0, 0.0, 0.6000000000000001, 0.0, 0.0, 0.0, 0.5]"
2561155.0,Zaire Franklin,"[0.5508974358974361, 0.375, 0.71875, 0.40028571428571424, 0.6739130434782609, 0.717391304347826, 0.31457142857142856, 0.27181818181818157, 0.17206896551724127, 0.552631578947368, 0.0625, 0.2647058823529412, 0.6060606060606061, 0.10379310344827583, 0.3567857142857142, 0.7058823529411765, 0.5168965517241378, 0.6997999999999998, 0.33361111111111114]","[1.2000000000000002, 0.0, 1.3, 0.6000000000000001, 1.1, 0.0, 0.30000000000000004, 0.30000000000000004, 0.1, 0.6000000000000001, 0.0, 0.4, 0.0, 0.0, 0.0, 0.8, 0.0, 0.4, 0.1]"
2558851.0,Anthony Walker,"[0.42821428571428527, 0.375, 0.386774193548387, 0.543695652173913, 0.717391304347826]","[0.2, 0.0, 0.6000000000000001, 0.6000000000000001, 0.0]"
71251.0,Patrick Chung,"[0.4995, 0.3406818181818181, -0.00045454545454540624, 0.5997142857142856, 0.6721311475409836, 0.6666666666666666, 0.5111111111111111, 0.047619047619047616, 0.29592592592592587, 0.20689655172413787, 0.5588235294117647, 0.09090909090909091, 0.6330000000000001, 0.5717857142857142, 0.1456249999999999, 0.59375, 0.6213513513513512, 0.6052631578947368]","[0.6000000000000001, 0.0, 0.1, 0.0, 0.0, 0.6000000000000001, 0.0, 0.0, 0.0, 0.2, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1]"
89756.0,Jason McCourty,"[0.3673684210526315, 0.3406818181818181, -0.00045454545454540624, 0.5997142857142856, 0.7405555555555556, 0.6721311475409836, 0.08291666666666671, 0.6222222222222222, 0.047619047619047616, 0.29592592592592587, 0.32432432432432434, 0.10379310344827583, 0.5588235294117647, 0.09090909090909091, 0.6330000000000001, 0.5717857142857142, 0.5716666666666668, 0.3663333333333333, 0.59375, 0.351081081081081, 0.7837837837837838, 0.08794117647058822, -0.00041666666666680547]","[0.4, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1]"
494287.0,Devin McCourty,"[0.06862068965517236, 0.4772727272727272, -0.00045454545454540624, 0.5997142857142856, 0.7405555555555556, 0.6721311475409836, 0.5412499999999999, 0.7557777777777779, 0.32432432432432434, 0.41379310344827586, 0.5588235294117647, 0.7996666666666667, 0.5717857142857142, 0.36363636363636365, 0.3663333333333333, 0.351081081081081, 0.4594594594594595, 0.029117647058823724, 0.6052631578947368]","[0.1, 0.30000000000000004, 0.1, 0.0, 0.0, 0.0, 0.0, 1.1, 0.0, 0.6000000000000001, 0.1, 0.0, 0.0, 0.1, 0.0, 0.0, 0.6000000000000001, 0.1, 0.1]"
