,name,reaction_rate,time_to_react
2539311.0,Jamie Collins,"[0.29034883720930255, 0.7435897435897436, 0.058235294117646996, 0.7314634146341464, 0.55, 0.4724999999999999, 0.576060606060606]","[0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0]"
2543637.0,Terrance Mitchell,"[1.0225, 0.43137254901960786, 0.4617948717948717, 0.058235294117646996, 0.3168292682926829, 0.55, 0.576060606060606]","[0.0, 0.4, 0.0, 0.0, 0.8, 0.0, 0.0]"
2552389.0,Damarious Randall,"[0.48454545454545483, 0.4318181818181816, 0.3137254901960784, 0.4617948717948717, 0.058235294117646996, 0.1948780487804878, 0.55, 0.4724999999999999, 0.576060606060606]","[1.0, 1.0, 0.5, 0.0, 0.0, 0.30000000000000004, 0.0, 0.0, 0.0]"
2555166.0,Joe Schobert,"[0.5999999999999999, 0.3716666666666671, 0.23529411764705882, 0.4617948717948717, 0.058235294117646996, 0.0975609756097561, 0.55, 0.4724999999999999]","[1.2000000000000002, 0.1, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]"
2557980.0,Jabrill Peppers,"[0.41903225806451655, 0.6274509803921569, 0.058235294117646996, 0.4724999999999999, 0.576060606060606]","[0.6000000000000001, 0.2, 0.0, 0.0, 0.0]"
2560916.0,Denzel Ward,"[0.3817647058823534, 0.5387179487179488, 0.058235294117646996, 0.55, 0.4724999999999999, 0.576060606060606]","[2.8000000000000003, 0.1, 0.0, 0.0, 0.0, 0.0]"
2495343.0,Buster Skrine,[],[]
2533059.0,Morris Claiborne,"[0.04785714285714266, 0.1848148148148148, 0.4687499999999999, 0.06419354838709665, 0.3634090909090908, 0.48756097560975614, 0.38235294117647056, 0.26065217391304346, 0.33333333333333326, 0.75609756097561, 0.2568571428571429, 0.5002777777777777, 0.4845454545454545]","[0.1, 0.1, 0.0, 0.2, 0.2, 0.0, 0.0, 0.30000000000000004, 0.0, 0.4, 0.0, 0.1, 0.0]"
2540219.0,J.J. Wilcox,"[0.1938709677419355, 0.4471052631578948, 0.5002777777777777]","[0.30000000000000004, 0.0, 0.1]"
2543597.0,Avery Williamson,"[0.3225806451612902, 0.28571428571428564, 0.4687499999999999, 0.31218749999999995, 0.4543181818181817, 0.5363414634146342, 0.8155263157894738, 0.38235294117647056, 0.5652173913043478, 0.33333333333333326, 0.658780487804878, 0.37142857142857144, 0.5002777777777777, 0.5148484848484848]","[0.30000000000000004, 0.6000000000000001, 0.0, 0.7000000000000001, 0.6000000000000001, 0.1, 0.5, 0.0, 0.1, 0.0, 1.4000000000000001, 0.2, 0.1, 0.0]"
2555322.0,Darron Lee,"[0.6157692307692307, 0.18227272727272717, 0.3793103448275862, 0.31218749999999995, 0.681590909090909, 0.5853658536585366, 0.4471052631578948, 0.38235294117647056, 0.4780434782608695, 0.33333333333333326, 0.07317073170731697, 0.2857142857142857]","[0.0, 0.4, 0.7000000000000001, 0.2, 0.5, 0.30000000000000004, 0.0, 0.0, 0.7000000000000001, 0.0, 0.0, 0.2]"
2556617.0,Doug Middleton,"[0.7595999999999999, 0.7496875, 0.6057575757575758, 0.7497727272727271, 0.48756097560975614, 0.4471052631578948, 0.38235294117647056, 0.2391304347826087, 0.36138888888888887, 0.2929268292682926, 0.2568571428571429, 0.5002777777777777, 0.6663636363636363]","[0.0, 0.0, 1.1, 1.6, 0.0, 0.0, 0.0, 0.0, 0.1, 0.4, 0.0, 0.1, 0.0]"
2557979.0,Jamal Adams,"[0.22580645161290322, 0.04785714285714266, 0.6082608695652173, 0.4687499999999999, 0.09645161290322571, 0.8634090909090908, 0.48756097560975614, 0.4471052631578948, 0.38235294117647056, 0.3693478260869565, 0.33333333333333326, 0.2568571428571429, 0.6666666666666666, 0.4845454545454545]","[0.2, 0.1, 1.1, 0.0, 0.1, 0.2, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]"
2561366.0,Frankie Luvu,"[0.3225806451612903, 0.050000000000000155, 0.4687499999999999, 0.48756097560975614, 0.38235294117647056, 0.31399999999999995, 0.4845454545454545]","[0.2, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0]"
2550164.0,T.J. Carrie,"[0.7672093023255815, 0.7254901960784313, 0.4617948717948717, 0.058235294117646996, 0.6341463414634148, 0.4724999999999999, 0.696969696969697]","[0.4, 0.9, 0.0, 0.0, 0.4, 0.0, 0.30000000000000004]"
2560964.0,Genard Avery,"[0.3783783783783784, 0.22681818181818214, 0.6078431372549021, 0.058235294117646996, 0.6497499999999998, 0.4724999999999999, 0.576060606060606]","[0.0, 0.0, 1.4000000000000001, 0.0, 0.0, 0.0, 0.0]"
2555540.0,Derrick Kindred,"[0.8041304347826087, 0.4617948717948717, 0.5121951219512195, 0.72475]","[1.1, 0.0, 0.0, 0.0]"
2556489.0,James Burgess,[0.38855555555555576],[0.1]
2532877.0,Trumaine Johnson,"[0.023809523809523624, 0.6297826086956521, 0.5621875, 0.4059375, 0.4543181818181817, 0.4471052631578948, 0.47058823529411764, 0.7319512195121951, 0.7142857142857143, 0.5002777777777777, 0.4845454545454545]","[0.1, 1.1, 0.30000000000000004, 0.7000000000000001, 0.2, 0.0, 0.30000000000000004, 0.1, 0.30000000000000004, 0.1, 0.0]"
2555256.0,Jordan Jenkins,"[0.5837499999999999, 0.4687499999999999, 0.40886363636363643, 0.5607317073170732, 0.38235294117647056, 0.658780487804878, 0.4845454545454545]","[1.0, 0.0, 0.0, 0.2, 0.0, 1.0, 0.0]"
2560822.0,Parry Nickerson,"[0.6245833333333332, 0.4687499999999999, 0.4089393939393939, 0.48756097560975614, 0.7368421052631579, 0.6954347826086957, 0.3888888888888888, 0.85390243902439, 0.5002777777777777, 0.4845454545454545]","[1.2000000000000002, 0.0, 1.0, 0.0, 0.5, 0.1, 0.1, 0.8, 0.1, 0.0]"
2539334.0,Desmond Trufant,"[0.5789473684210527, 0.5738888888888889, 0.43333333333333324, 0.5575, 0.4420930232558139, 0.4642857142857143, 0.5614035087719298, 0.6938775510204082, 0.4719444444444444, 0.5880392156862746, 0.862241379310345, 0.5863793103448276, 0.8681132075471699, 0.3333333333333333, 0.9074074074074074, 0.48860465116279067, 0.5498333333333334, 0.4559649122807018, 0.5961538461538461, 0.4617307692307691, 0.6333333333333333, 0.7420967741935484]","[1.0, 0.7000000000000001, 0.1, 0.6000000000000001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.4, 1.2000000000000002, 0.1, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2539653.0,Robert Alford,"[0.16694444444444445, 0.4074074074074074, 0.43333333333333324, 0.5959615384615385, 0.4420930232558139, 0.4642857142857143, 0.6314035087719299, 0.6938775510204082, 0.5, 0.5880392156862746, 0.6898275862068965, 0.576271186440678, 0.5517241379310345, 0.39641509433962263, 0.3333333333333333, 0.5, 0.7909302325581394, 0.7998333333333334, 0.6842105263157895, 0.5961538461538461, 0.23076923076923078, 0.7692307692307693, 0.9166666666666666]","[0.30000000000000004, 0.0, 0.1, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0, 0.1, 0.0, 1.7000000000000002, 0.9, 0.30000000000000004, 0.0, 0.0, 1.0, 0.9]"
2543850.0,Ricardo Allen,"[0.765957446808511, 0.4074074074074074, 0.43333333333333324, 0.4613461538461538, 0.4651162790697674, 0.4642857142857143, 0.5614035087719298, 0.6938775510204082, 0.5555555555555556, 0.8330555555555555, 0.5880392156862746, 0.6898275862068965, 0.7118644067796609, 0.5517241379310345, 0.6981132075471698, 0.3333333333333333, 0.6296296296296297]","[0.1, 0.0, 0.1, 0.2, 0.2, 0.0, 0.0, 0.0, 0.1, 0.7000000000000001, 0.0, 0.1, 0.0, 0.2, 0.0, 0.1, 0.6000000000000001]"
2552301.0,Vic Beasley,"[0.6831707317073171, 0.4651162790697674, 0.4642857142857143, 0.5614035087719298, 0.6938775510204082, 0.5742592592592592, 0.4719444444444444, 0.6860784313725489, 0.576271186440678, 0.6379310344827587, 0.5111111111111111, 0.6112962962962962, 0.6166666666666667, 0.46153846153846156, 0.6333333333333333, 0.7420967741935484]","[1.7000000000000002, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.1, 0.1, 0.0, 0.4, 0.4, 0.30000000000000004, 0.7000000000000001, 0.0, 0.0]"
2555255.0,De'Vondre Campbell,"[0.6932954545454546, 0.49999999999999994, 0.6336666666666666, 0.4421153846153846, 0.13636363636363627, 0.4642857142857143, 0.6314035087719299, 0.6938775510204082, 0.5, 0.4719444444444444, 0.6078431372549019, 0.6898275862068965, 0.711864406779661, 0.7587931034482758, 0.5473584905660378, 0.32581395348837205, 0.6498333333333334, 0.5087719298245614, 0.5961538461538461, 0.4230769230769231, 0.4617307692307691, 0.7420967741935484]","[2.1, 0.1, 0.2, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.1, 0.1, 0.6000000000000001, 0.4, 0.6000000000000001, 0.9, 0.30000000000000004, 0.30000000000000004, 0.0, 0.4, 0.0, 0.0]"
2557967.0,Duke Riley,"[0.6626744186046511, 0.49999999999999994, 0.5192307692307693, 0.6138596491228069, 0.7243103448275862, 0.576271186440678, 0.7169811320754716, 0.7333333333333333, 0.7222222222222222, 0.2560465116279069, 0.5665, 0.5614035087719298, 0.5961538461538461, 0.2501923076923077, 0.5578846153846153, 0.6333333333333333, 0.7420967741935484]","[0.9, 0.1, 0.6000000000000001, 0.2, 0.1, 0.1, 0.0, 1.1, 0.7000000000000001, 0.7000000000000001, 0.1, 0.30000000000000004, 0.0, 0.2, 0.2, 0.0, 0.0]"
2558184.0,Damontae Kazee,"[1.1, 0.10473684210526342, 0.43333333333333324, 0.653653846153846, 0.5719047619047619, 0.4642857142857143, 0.6938775510204082, 0.5, 0.4719444444444444, 0.7647058823529411, 0.6898275862068965, 0.576271186440678, 0.5863793103448277, 0.49075471698113204, 0.3333333333333333, 0.5, 0.6511627906976745, 0.5498333333333334, 0.4559649122807018, 0.5961538461538461, 0.42307692307692296, 0.5384615384615383, 0.6501666666666667, 0.7420967741935484]","[1.5, 0.2, 0.1, 0.7000000000000001, 0.6000000000000001, 0.0, 0.0, 0.0, 0.0, 0.1, 0.1, 0.1, 0.6000000000000001, 0.0, 0.1, 0.0, 1.7000000000000002, 0.0, 0.0, 0.0, 0.0, 0.2, 0.1, 0.0]"
2556445.0,Brian Poole,"[0.43333333333333324, 0.7498076923076922, 0.5614035087719298, 0.6938775510204082, 0.5, 0.7775, 0.5880392156862746, 0.7243103448275862, 0.576271186440678, 0.5689655172413793, 0.39641509433962263, 0.6446666666666665, 0.5, 0.5498333333333334, 0.47368421052631576, 0.5961538461538461, 0.2692307692307691, 0.6924999999999998, 0.6333333333333333, 0.7420967741935484]","[0.1, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.1, 0.1, 0.5, 0.0, 0.2, 0.0, 0.0, 0.1, 0.0, 0.1, 0.6000000000000001, 0.0, 0.0]"
2533008.0,Demario Davis,"[0.21428571428571466, 0.43316666666666664, 0.6271186440677966, 0.910888888888889, 0.6177941176470587, 0.8472881355932204, 0.7222222222222222, 0.7194736842105264, 0.42019999999999996]","[0.6000000000000001, 0.4, 0.1, 1.2000000000000002, 0.6000000000000001, 0.7000000000000001, 0.0, 0.1, 0.1]"
2539982.0,A.J. Klein,"[0.3811842105263155, 0.5833333333333334, 0.7882692307692308, 0.576271186440678, 0.4444444444444444, 0.6913235294117647, 0.6099999999999999, 0.4466071428571428, 0.7222222222222222, 0.6801999999999998]","[0.30000000000000004, 0.30000000000000004, 0.0, 0.8, 0.0, 0.9, 0.0, 1.1, 0.0, 0.1]"
2552484.0,P.J. Williams,"[0.24999999999999978, 0.5612499999999998, 0.7882692307692308, 0.6099999999999999, 0.7017543859649122]","[0.2, 0.0, 0.0, 0.0, 0.1]"
2555530.0,Vonn Bell,"[0.7331666666666666, 0.7882692307692308, 0.7222222222222222, 0.7017543859649122, 0.42019999999999996]","[0.4, 0.0, 0.0, 0.1, 0.1]"
2558061.0,Marshon Lattimore,"[0.3333333333333333, 0.7882692307692308, 0.5932203389830508, 0.7333333333333333, 0.5001470588235295, 0.6947457627118643, 0.6251785714285714, 0.7222222222222222, 0.7017543859649122, 0.64]","[0.0, 0.0, 1.0, 0.7000000000000001, 0.1, 0.30000000000000004, 1.1, 0.0, 0.1, 0.1]"
