nflId,name,YACNTR,Missed Opps,weeks
2543811,Pierre Desir,44.99,0,[5]
2552386,Clayton Geathers,43.43,0,[5]
2558060,Malik Hooker,52.92,0,[5]
2558851,Anthony Walker,13.53,0,[5]
2558988,Lenzy Pipkins,74.6,1,[5]
2559087,Arthur Maulet,12.99,1,[5]
2561155,Zaire Franklin,51.45,0,[5]
71251,Patrick Chung,30.14,0,[5]
89756,Jason McCourty,45.14,0,[5]
494287,Devin McCourty,20.89,1,[5]
2533057,Dont'a Hightower,26.38,0,[5]
2533062,Stephon Gilmore,28.88,0,[5]
2543699,Kyle Van Noy,27.34,0,[5]
2556119,Elandon Roberts,24.88,0,[5]
2556571,Jonathan Jones,13.86,0,[5]
2541243,Duron Harmon,37.65,1,[5]
2533016,Najee Goode,53.64,1,[5]
2556394,Chris Milton,44.63,1,[5]
2539280,John Simon,0.18,0,[5]
2561131,George Odum,1.1,0,[5]
2556429,Matthias Farley,19.86,0,[5]
2556542,Nicholas Grigsby,22.61,0,[5]
2560754,J.C. Jackson,23.68,0,[5]
2561157,Keion Crossen,10.58,0,[5]
2506268,Lorenzo Alexander,14.47,0,[5]
2539290,Jordan Poyer,20.7,0,[5]
2553562,Dean Marlowe,25.95,1,[5]
2557867,Tre'Davious White,40.98,0,[5]
2557969,Matt Milano,32.42,1,[5]
2560713,Tremaine Edmunds,32.36,0,[5]
2560766,Taron Johnson,15.63,0,[5]
2559208,Ryan Lewis,1.17,0,[5]
71423,Brian Orakpo,24.84,0,[5]
494277,Kendrick Lewis,19.22,0,[5]
496828,Derrick Morgan,17.69,0,[5]
2540162,Logan Ryan,37.22,0,[5]
2541539,Daren Bates,7.99,0,[5]
2555158,Kevin Byard,16.85,0,[5]
2558005,Jayon Brown,20.27,0,[5]
2558065,Adoree' Jackson,18.69,0,[5]
2560784,Harold Landry,10.94,0,[5]
2560718,Rashaan Evans,7.8,0,[5]
2550613,Malcolm Butler,29.22,0,[5]
2555339,Kamalei Correa,6.8,0,[5]
2543851,Phillip Gaines,8.69,0,[5]
2540013,Will Compton,0,0,[5]
2505708,Mike Adams,88.02,1,[5]
2533056,Luke Kuechly,75.1,0,[5]
2540152,Eric Reid,26.89,1,[5]
2552447,Shaq Thompson,74.26,0,[5]
2553441,David Mayo,0.02,0,[5]
2560753,Donte Jackson,33.37,0,[5]
80668,Captain Munnerlyn,31.89,1,[5]
2555175,James Bradberry,42.34,0,[5]
71197,Connor Barwin,26.15,0,[5]
2532875,Janoris Jenkins,30.88,1,[5]
2539338,B.W. Webb,45.59,1,[5]
2540143,Alec Ogletree,69.97,0,[5]
2541792,Ray-Ray Armstrong,39.34,0,[5]
2543738,Kareem Martin,41.34,0,[5]
2552454,Landon Collins,56.9,0,[5]
2553822,Curtis Riley,51.52,0,[5]
2555277,Eli Apple,27.57,0,[5]
2561015,Lorenzo Carter,12.8,0,[5]
2561093,Jermaine Carter,39.18,0,[5]
2560775,Rashaan Gaulden,34.52,0,[5]
2535687,Michael Thomas,10.17,0,[5]
2555522,B.J. Goodson,7.14,0,[5]
2556512,Donte' Deayon,0,0,[5]
2533058,Vontaze Burfict,32.09,1,[5]
2533060,Dre Kirkpatrick,73.71,1,[5]
2539233,Shawn Williams,49.35,0,[5]
2543474,Darqueze Dennard,58.54,3,[5]
2556367,William Jackson,23.67,1,[5]
2560970,Jessie Bates,50.1,0,[5]
2543814,Preston Brown,26.06,0,[5]
496739,Reshad Jones,37.42,0,[5]
2539309,T.J. McDonald,38.45,2,[5]
2539935,Kiko Alonso,45.34,0,[5]
2558070,Raekwon McMillan,38.34,0,[5]
2559053,Torry McTyer,51.08,1,[5]
2560725,Minkah Fitzpatrick,39.09,0,[5]
2555539,Xavien Howard,48.32,0,[5]
2560966,Jerome Baker,7.18,0,[5]
2555528,Nick Vigil,41.69,0,[5]
2552321,Stephone Anthony,3.26,0,[5]
2556817,Tony McRae,0,0,[5]
2558982,Hardy Nickerson,28.39,0,[5]
2555355,Clayton Fejedelem,1.04,1,[5]
2558801,Jordan Evans,5.44,0,[5]
4365,Brandon Carr,53.94,0,[5]
2495775,Eric Weddle,86.46,0,[5]
2505660,Terrell Suggs,71.06,0,[5]
2540164,Tony Jefferson,61.44,2,[5]
2543464,C.J. Mosley,121.43,1,[5]
2552279,Za'Darius Smith,107.18,0,[5]
2555378,Tavon Young,57.7,0,[5]
2558067,Marlon Humphrey,86.62,0,[5]
2560947,Kenny Young,10.54,0,[5]
2539311,Jamie Collins,88.31,1,[5]
2543823,E.J. Gaines,66.95,1,[5]
2550164,T.J. Carrie,47.99,0,[5]
2552389,Damarious Randall,73.82,0,[5]
2555166,Joe Schobert,95.88,1,[5]
2560916,Denzel Ward,68.72,0,[5]
2508107,Jimmy Smith,13.32,1,[5]
2556642,Patrick Onwuasor,13.21,0,[5]
2508004,Anthony Levine,89.74,0,[5]
2555505,Matt Judon,65.78,0,[5]
2558990,Patrick Ricard,4.79,0,[5]
2543720,Christian Kirksey,103.2,1,[5]
2555540,Derrick Kindred,9.7,0,[5]
2557980,Jabrill Peppers,40.09,0,[5]
2560964,Genard Avery,34.64,0,[5]
2558166,Tyus Bowser,9.24,0,[5]
2558248,Chuck Clark,7.57,0,[5]
80431,Clay Matthews,35.3,0,[5]
2506789,Tramon Williams,67.45,2,[5]
2533048,Nick Perry,52.32,0,[5]
2543470,Ha Ha Clinton-Dix,55.51,0,[5]
2556480,Kentrell Brice,69.84,1,[5]
2557996,Kevin King,63.03,2,[5]
2560755,Josh Jackson,27.62,0,[5]
2560984,Oren Burks,43.82,1,[5]
71441,Glover Quin,123.39,1,[5]
2535609,DeShawn Shead,96.52,1,[5]
2540288,Darius Slay,96.51,2,[5]
2543869,Devon Kennard,115.31,0,[5]
2543872,Nevin Lawson,93.24,1,[5]
2550572,Christian Jones,12.93,0,[5]
2552262,Quandre Diggs,92,1,[5]
2556641,Romeo Okwara,86.63,0,[5]
2557855,Jarrad Davis,104.22,0,[5]
2555161,Blake Martinez,63.28,0,[5]
2555340,Kyler Fackrell,18.53,0,[5]
2556537,Reggie Gilbert,6.55,0,[5]
2555160,Antonio Morrison,0.8,0,[5]
2557955,Teez Tabor,5.26,0,[5]
2557924,Jalen Reeves-Maybin,28.77,0,[5]
